Reading DB: .tmp_input.txt
side = -1  chi2_best = 1.24486 MIRRORED= 5.70183
FITSHAPE  80.2921  -357.397
FITSHAPE  79.0041  -357.179
FITSHAPE  77.7157  -356.963
FITSHAPE  76.4264  -356.754
FITSHAPE  75.1361  -356.554
FITSHAPE  73.8443  -356.367
FITSHAPE  72.551  -356.195
FITSHAPE  71.2559  -356.043
FITSHAPE  69.9591  -355.916
FITSHAPE  68.6608  -355.818
FITSHAPE  67.3616  -355.757
FITSHAPE  66.0629  -355.741
FITSHAPE  64.7666  -355.78
FITSHAPE  63.4762  -355.883
FITSHAPE  62.1967  -356.06
FITSHAPE  60.9348  -356.322
FITSHAPE  59.6995  -356.677
Total lengths different by 1 per cent
0 Parameter = 0.0183
1 Parameter = 6.192
2 Parameter = 116.512
3 Parameter = -305.661
4 Parameter = 0.1727
5 Parameter = -0.2094
Min chi2    = 1.07357
PREDICTED age 10:20 (260h +-5.5h) 	name= tmp.txt
RESULT 260 5.45546 1.07357
